address,built,city,propertyType,soldDate,soldPrice,sqft,zipCode
161 Morningside Ave,1901,New York,Multi-Family,ie," Contact For Estimate
 ","8,609 sqft",10027
150 E 86th St #11F,2007,New York,Condo,"Dec 21, 2018","2,675,000","1,621 sqft",10028
407 E 12th St #1RSE,ie,New York,Condo,"Dec 28, 2018","1,986,075","1,453 sqft",10009
340 W 48th St,1920,New York,Multi-Family,ie," Contact For Estimate
 ","7,497 sqft",10036
342 W 85th St #3C344,1875,New York,Condo,"Jan 3, 2019","1,212,500",824 sqft,10024
333 E 82nd St,1920,New York,Multi-Family,ie," Contact For Estimate
 ","4,032 sqft",10028
15 W 53rd St #19C,1982,New York,Condo,ie," Contact For Estimate
 ",973 sqft,10019
505 W 19th St #7D,2013,New York,Condo,"Jan 14, 2019","2,000,000","1,077 sqft",10011
88 Greenwich St #3505,1956,New York,Condo,"Jan 17, 2019","995,000",681 sqft,10006
1965 Broadway #19A,ie,New York,Condo,"Jan 23, 2019","4,100,000","1,859 sqft",10023
2148 Broadway #PH3A,2009,New York,Condo,"Jan 25, 2019","10,495,000","2,532 sqft",10023
225 E 74th St #5H,1938,New York,Coop,ie," Contact For Estimate
 ","86,988 sqft",10021
3 E 88th St,1940,Brooklyn,Multi-Family,ie,"605,134
 ","2,165 sqft",11236
1144 Lydig Ave #6F,1963,Bronx,ie,ie," Contact For Estimate
 ",Condo,10461
8451 Beverly Rd #1W,1941,Kew Gardens,Coop,ie," Contact For Estimate
 ","156,510 sqft",11415
270 Seaman Ave #C4,1926,New York,Coop,ie," Contact For Estimate
 ","50,066 sqft",10034
353 Cromwell Ave,2004,Staten Island,Single-Family Home,ie,"614,739
 ","1,185 sqft",10305
234 Greencroft Ave,1965,Staten Island,Single-Family Home,ie," Contact For Estimate
 ","1,884 sqft",10308
81 Gary Ct,1975,Staten Island,Multi-Family,ie,"608,404
 ","2,068 sqft",10314
30 Walker Dr,1990,Staten Island,Single-Family Home,ie,"313,426
 ",935 sqft,10303
58 Emily Ln,1996,Staten Island,Single-Family Home,ie,"266,828
 ",929 sqft,10312
75 Venus Pl,ie,Staten Island,ie,ie," Contact For Estimate
 ",Multi-Family,10312
622 Drumgoole Rd W,1975,Staten Island,Single-Family Home,ie,"684,118
 ","1,969 sqft",10312
155 W 70th St #4H,ie,New York,Condo,"Jan 29, 2019","620,000",617 sqft,10023
301 E 45th St #15C,1980,Manhattan,Condo,"Jan 30, 2019","695,000",522 sqft,10017
101 W 24th St #28D,2008,New York,Condo,"Jan 30, 2019","2,665,000","1,286 sqft",10011
301 W 110th St #14D,1989,New York,Condo,"Jan 30, 2019","610,000",589 sqft,10026
315 7th Ave #17C,ie,New York,Condo,"Jan 30, 2019","860,000",612 sqft,10001
223 W 80th St #11,2004,New York,Condo,"Jan 30, 2019","2,300,000","1,612 sqft",10024
613 Hudson St,1899,New York,Single-Family Home,"Jan 30, 2019","5,100,000","2,080 sqft",10014
333 E 30th St #14K,1962,New York,Condo,"Jan 30, 2019","775,000",763 sqft,10016
101 Warren St #1550,2007,New York,Condo,"Jan 30, 2019","3,870,000","1,920 sqft",10007
50 Riverside Blvd #3J,2013,New York,Condo,"Jan 30, 2019","2,275,000","1,410 sqft",10069
200 Riverside Blvd #16A,ie,New York,Condo,"Jan 30, 2019","2,400,000","1,557 sqft",10069
220 3rd Ave #2C,1901,New York,Condo,"Jan 30, 2019","950,000",525 sqft,10003
768 5th Ave #1321,ie,New York,Multi-Family,"Jan 30, 2019","2,800,000",902 sqft,10019
400 E 51st St #4C,2002,Manhattan,Condo,"Jan 30, 2019","1,180,000","1,046 sqft",10022
77 W 55th St #7A,1962,New York,ie,ie,"       $535,000
      
     ",ie,10019
150 W 51st St #2022,ie,Manhattan,Condo,"Jan 30, 2019","540,000",353 sqft,10019
412 Greenwich St,1915,New York,Condo,"Jan 30, 2019","13,240,000","4,986 sqft",10013
650 Avenue Of The Americas #3L,1906,New York,Condo,"Jan 30, 2019","1,620,000","1,090 sqft",10011
18-20 Pine St #1703,1928,New York,Condo,"Jan 30, 2019","767,000",656 sqft,10005
234 E 70th St #1,2011,New York,Condo,"Jan 31, 2019","2,075,000","1,977 sqft",10021
516 W 47th St #N3G,2003,New York,Condo,"Jan 31, 2019","1,100,000",912 sqft,10036
209-211 E 51st St #5D,1958,New York,Condo,"Jan 31, 2019","665,000",505 sqft,10022
220 E 60th St #6M,1965,New York,Condo,"Jan 31, 2019","540,000",443 sqft,10022
209-211 E 51st St #9F,1958,New York,Condo,"Jan 31, 2019","1,150,000",842 sqft,10022
20 West St #44F,1930,New York,Condo,"Jan 31, 2019","527,500",368 sqft,10004
555 W 23rd St #S7R,2005,New York,Condo,"Jan 31, 2019","1,153,750",852 sqft,10011
101 W 24th St #4H,2008,New York,Condo,"Jan 31, 2019","1,525,000",836 sqft,10011
392 Central Park W #4M,1960,New York,Condo,"Jan 31, 2019","1,100,000",788 sqft,10025
249 E 7th St #1,2001,New York,Coop,"Feb 1, 2019","399,000","9,664 sqft",10009
16036 119th Dr,1955,Jamaica,Multi-Family,ie,"624,259
 ","1,215 sqft",11434
14644 Lakewood Ave,1925,Jamaica,Multi-Family,ie,"519,429
 ","1,248 sqft",11435
15807 137th Ave,1955,Jamaica,Multi-Family,ie,"478,332
 ","1,698 sqft",11434
14548 Ferndale Ave,1940,Jamaica,Multi-Family,ie,"610,179
 ","2,300 sqft",11435
8159 246th St,1950,Jamaica,Single-Family Home,ie,"624,311
 ","1,163 sqft",11426
17502 139th Rd,1920,Queens,Single-Family Home,ie,"554,789
 ","2,443 sqft",11434
4140 Union St #6U,ie,Flushing,Condo,ie," Contact For Estimate
 ",687 sqft,11355
3625 172nd St,1940,Flushing,Multi-Family,ie," Contact For Estimate
 ","2,150 sqft",11358
1828 Edison Ave,1925,Bronx,Multi-Family,ie," Contact For Estimate
 ","2,662 sqft",10461
1425 Bryant Ave #A,1995,Bronx,Multi-Family,ie,"590,166
 ","2,520 sqft",10459
3962 Bronx Blvd,1965,Bronx,Multi-Family,ie,"597,830
 ","2,680 sqft",10466
199 Throggs Neck Blvd,1960,Bronx,Single-Family Home,ie,"557,842
 ","1,944 sqft",10465
954 E 231st St,1935,Bronx,Multi-Family,ie,"422,600
 ","1,184 sqft",10466
1520 Bruckner Blvd,2003,Bronx,Multi-Family,ie," Contact For Estimate
 ","5,400 sqft",10473
1118 Metcalf Ave,1926,Bronx,Multi-Family,ie,"765,254
 ","3,301 sqft",10472
Cross Bronx Expy,ie,Bronx,ie,ie," Contact For Estimate
 ",Lot/Land,10472
2044 Washington Ave,1899,Bronx,Multi-Family,ie,"383,646
 ","1,804 sqft",10457
744 Saint Lawrence Ave,2005,Bronx,Multi-Family,ie," Contact For Estimate
 ","6,942 sqft",10473
2353 Wickham Ave,1965,Bronx,Multi-Family,ie,"586,241
 ","1,644 sqft",10469
1046 E 222nd St,1955,Bronx,Multi-Family,ie,"526,973
 ","1,560 sqft",10469
1852 Yates Ave,1940,Bronx,Single-Family Home,"May 12, 2018","385,000","1,656 sqft",10461
1725 Purdy St #2H,ie,Bronx,Condo,"May 14, 2018","159,000",623 sqft,10462
1119 Throggmorton Ave,1960,Bronx,Multi-Family,"May 14, 2018","621,000","2,016 sqft",10465
1822 Marmion Ave,1910,Bronx,Unknown,"May 14, 2018","450,000","1,112 sqft",10460
218 E 179th St,1910,Bronx,Multi-Family,"May 14, 2018","780,000","4,158 sqft",10457
1144 Lydig Ave #4C,1963,Bronx,Condo,"May 14, 2018","309,000",800 sqft,10461
2241 Turnbull Ave,1965,Bronx,Multi-Family,"May 14, 2018","475,000","1,815 sqft",10473
208 Throggs Neck Blvd,1950,Bronx,Single-Family Home,"May 14, 2018","430,000",960 sqft,10465
3240 Netherland Ave #2C,1988,Bronx,Condo,"May 14, 2018","230,000",479 sqft,10463
1942 Tomlinson Ave,1925,Bronx,Multi-Family,"May 14, 2018","810,000","3,306 sqft",10461
1273 Stadium Ave,1925,Bronx,Single-Family Home,"May 14, 2018","300,000","1,400 sqft",10465
4414 Bruner Ave,1925,Bronx,Single-Family Home,"May 14, 2018","370,000","1,128 sqft",10466
3911 Duryea Ave,1962,Bronx,Multi-Family,"May 15, 2018","600,000","3,120 sqft",10466
2049 Burr Ave #ENTIRE HOUSE,1950,Bronx,Multi-Family,"May 15, 2018","775,000","2,321 sqft",10461
1504 Vyse Ave,2006,Bronx,Multi-Family,ie,"383,801
 ","3,678 sqft",10460
960 E 86th St,1930,Brooklyn,Multi-Family,ie,"562,443
 ","1,456 sqft",11236
1866 E 27th St,1935,Brooklyn,Multi-Family,ie," Contact For Estimate
 ","1,948 sqft",11229
622 Louisiana Ave #2,1992,Brooklyn,Condo,ie," Contact For Estimate
 ","1,025 sqft",11239
1990 Troy Ave,1935,Brooklyn,Single-Family Home,ie,"605,846
 ","1,440 sqft",11234
392 11th St #3A,2003,Brooklyn,Condo,ie,"954,527
 ",934 sqft,11215
122 West St #1C,2008,Brooklyn,Condo,ie," Contact For Estimate
 ",688 sqft,11222
270 W 17th St #4C,1989,New York,Condo,ie," Contact For Estimate
 ",847 sqft,10011
100 W 39th St #38E,2004,New York,Condo,ie," Contact For Estimate
 ",701 sqft,10018
343 W 47th St,1920,New York,Coop,ie,"791,686
 ","5,272 sqft",10036
300 E 64th St #7H,1996,New York,Condo,ie," Contact For Estimate
 ","1,658 sqft",10065
24 W 123rd St,1909,New York,Multi-Family,ie," Contact For Estimate
 ","2,484 sqft",10027
188 E 70th St #16B,1986,New York,Condo,ie,"747,477
 ",547 sqft,10021
350 W 53rd St #1DTHD,2005,New York,Condo,ie," Contact For Estimate
 ","1,384 sqft",10019
305 W 150th St #607,1921,New York,Condo,ie," Contact For Estimate
 ",570 sqft,10039
156 E 36th St #158,1915,New York,Single-Family Home,ie," Contact For Estimate
 ","2,427 sqft",10016
200 Rector Pl #31F,1987,New York,ie,ie,"       $1,035,000
      
     ",ie,10280
516 W 47th St #S5E,2003,New York,Condo,"May 14, 2018","790,000",611 sqft,10036
39-45 E 29th St #15C,2008,New York,Condo,"May 14, 2018","1,608,888",785 sqft,10016
300 Rector Pl #6I,ie,New York,Condo,"May 14, 2018","610,000",625 sqft,10280
421 E 13th St #3A,2008,New York,Condo,"May 14, 2018","1,600,000","1,047 sqft",10009
225 W 83rd St #8L,1985,New York,Condo,"May 14, 2018","1,995,000","1,114 sqft",10024
229 E 28th St #6K,1962,New York,Coop,"May 14, 2018","395,000","44,912 sqft",10016
161 Grand St #5A,ie,Manhattan,Condo,ie," Contact For Estimate
 ","1,771 sqft",10013
333 E 30th St #2G,1962,New York,Condo,ie," Contact For Estimate
 ",476 sqft,10016
2250 Broadway #4G,1987,New York,Condo,"May 14, 2018","999,999",740 sqft,10024
845 W End Ave #6E,1930,New York,Condo,"May 14, 2018","3,125,000","2,313 sqft",10025
330 E 38th St #8D,ie,New York,Condo,"May 14, 2018","1,765,000","1,372 sqft",10016
186 Riverside Dr #6D,1928,New York,Coop,"May 15, 2018","835,000","152,016 sqft",10024
502 9th Ave #10B,2007,New York,Condo,"May 15, 2018","2,430,000","1,164 sqft",10018
18 W 129th St #2A,2008,Manhattan,Condo,"May 15, 2018","620,000",594 sqft,10027
330 E 38th St #20A,ie,New York,Condo,"May 15, 2018","1,475,000","1,009 sqft",10016
7 Hubert St #M9C,2004,New York,Condo,"Jan 25, 2019","7,200,000","4,663 sqft",10013
750 Riverside Dr #5C,1920,New York,Condo,"Jan 25, 2019","515,000",660 sqft,10031
12 River Ter #9M,2006,New York,Condo,"Jan 25, 2019","2,400,000","1,449 sqft",10282
330 E 38th St #15Q,ie,New York,Condo,"Jan 25, 2019","1,210,000",958 sqft,10016
48 W 138th St #6F,1940,New York,Condo,"Jan 25, 2019","356,000",306 sqft,10037
252 7th Ave #10P,ie,New York,Condo,"Jan 25, 2019","4,000,000","2,154 sqft",10001
11 E 29th St #48B,2005,New York,Condo,ie," Contact For Estimate
 ","1,150 sqft",10016
245 E 93rd St #3B,1986,New York,Condo,"Jan 28, 2019","730,000",813 sqft,10128
635 W 42nd St #10D,2005,New York,Condo,"Jan 28, 2019","879,000",678 sqft,10036
63 W 17th St #4-B,ie,New York,Condo,"Jan 28, 2019","2,400,000","1,361 sqft",10011
345 E 69th St #9B,1963,New York,Coop,"Jan 28, 2019","435,000","134,070 sqft",10021
180 Avenue Of The Americas #3B,2013,New York,Condo,"Jan 28, 2019","1,375,000",737 sqft,10013
140 West St #11K,ie,New York,ie,"Jan 28, 2019","4,100,000",Condo,10007
21 Ludlow St #8A,1901,New York,Condo,"Jan 28, 2019","765,000",500 sqft,10002
25 Central Park W #3G,ie,New York,Condo,"Jan 28, 2019","1,090,000",819 sqft,10023
539 W 144th St #5,1900,New York,Condo,"Jan 28, 2019","610,000",928 sqft,10031
77 W 55th St #14D,ie,New York,Condo,"Jan 28, 2019","695,000",566 sqft,10019
401 E 89th St #3B,ie,New York,Condo,"Jan 28, 2019","760,000",929 sqft,10128
360 E 88th St #14A,1988,New York,Condo,"Jan 29, 2019","1,350,000",984 sqft,10128
250 E 40th St #24B,1988,New York,Condo,"Jan 29, 2019","1,290,000",967 sqft,10016
224 E 52nd St #22,ie,New York,Condo,"Jan 29, 2019","655,000",600 sqft,10022
2112 Broadway #5A,ie,New York,Condo,"Jan 29, 2019","3,900,000","2,193 sqft",10023
295 Greenwich St #8JN,1987,New York,Condo,"Jan 29, 2019","640,000",432 sqft,10007
416 E 117th St #4-C,2007,New York,Condo,"Jan 29, 2019","658,630",771 sqft,10035
258 Saint Nicholas Ave #6D,2006,New York,Condo,"Jan 29, 2019","1,350,000","1,320 sqft",10027
130 E 12th St #3A,1905,New York,ie,ie,"       $2,550,000
      
     ",ie,10003
80 Riverside Blvd #24A,2006,New York,Condo,"Jan 23, 2019","3,458,907","1,850 sqft",10069
150 E 86th St #17D,2007,New York,Condo,"Jan 23, 2019","8,950,000","4,158 sqft",10028
111 W 67th St #26D,ie,New York,Condo,"Jan 23, 2019","2,835,000","1,384 sqft",10023
26 E 63rd St #4A,ie,New York,Condo,"Jan 23, 2019","3,500,000","1,316 sqft",10065
261 W 28th St #2E,2006,New York,Condo,"Jan 23, 2019","1,850,000","1,238 sqft",10001
438-448 W 37th St #12B,ie,New York,Condo,"Jan 23, 2019","1,850,000","1,892 sqft",10018
229 W 116th St #3C,2006,New York,Condo,"Jan 23, 2019","700,000",818 sqft,10026
498 W End Ave #5D,ie,New York,ie,"Jan 23, 2019","1,140,311",Condo,10024
1760 2nd Ave #18E,ie,New York,Condo,"Jan 23, 2019","830,000",694 sqft,10128
322 W 57th St #22S,1978,New York,Condo,"Jan 24, 2019","1,950,000","1,014 sqft",10019
20 West St #PH-F,1930,New York,Condo,"Jan 24, 2019","510,000",368 sqft,10004
299 W 12th St #1E,1930,New York,Condo,"Jan 24, 2019","1,150,000",585 sqft,10014
205 E 68th St #T4H,1991,New York,Condo,"Jan 24, 2019","930,000",744 sqft,10065
1 Morton Sq #4A,2002,New York,Condo,"Jan 24, 2019","2,275,000","1,187 sqft",10014
200 W End Ave #9N,ie,New York,Condo,"Jan 24, 2019","975,000",637 sqft,10023
12 River Ter #4C,2006,New York,Condo,"Jan 24, 2019","1,678,000","1,088 sqft",10282
121 E 23rd St #4B,2005,New York,Condo,"Jan 24, 2019","930,000",695 sqft,10010
368 W 117th St #3F,1901,New York,Condo,"Jan 24, 2019","1,405,000","1,325 sqft",10026
58 W 129th St #5D,2014,New York,Condo,"Jan 25, 2019","1,136,500",938 sqft,10027
443 Greenwich St #3C,ie,Manhattan,ie,"Jan 25, 2019","10,200,000",Condo,10013
555 W 23rd St #N6G,2005,New York,Condo,"Jan 25, 2019","750,000",508 sqft,10011
520 W 110th St #1C,1911,New York,Condo,"Jan 25, 2019","2,100,000","1,631 sqft",10025
635 W 42nd St #20F,2005,New York,Condo,"Jan 25, 2019","1,175,000",758 sqft,10036
159 W 118th St #2E,1920,New York,Condo,"Jan 25, 2019","1,325,000","1,296 sqft",10026
120 Riverside Blvd #15T,ie,New York,Condo,"Jan 25, 2019","1,588,888","1,043 sqft",10069
800 10th Ave,2008,New York,Condo,"Jan 25, 2019","3,100,000","1,702 sqft",10019
1438 3rd Ave #26B,1985,New York,Condo,"Jan 17, 2019","1,175,000",790 sqft,10028
45 Park Ave #2103,2008,New York,Condo,"Jan 17, 2019","1,490,000",812 sqft,10016
80 W 120th St,1899,New York,Multi-Family,"Jan 18, 2019","2,900,000","4,740 sqft",10027
125 E 12th St #1D,ie,New York,Condo,"Jan 18, 2019","3,250,000","2,058 sqft",10003
300 E 62nd St #1003,1985,New York,Condo,"Jan 18, 2019","510,000",435 sqft,10065
311 E 38th St #11C,1984,New York,Condo,"Jan 18, 2019","652,000",496 sqft,10016
88 Greenwich St #1013,1956,Manhattan,Condo,"Jan 18, 2019","640,000",627 sqft,10006
303 E 49th St #22,1982,New York,Condo,"Jan 18, 2019","3,650,000","2,432 sqft",10017
19 Mount Morris Park W #5A,ie,New York,Condo,"Jan 18, 2019","1,075,000",917 sqft,10027
48 W 138th St #6K,1940,New York,Condo,"Jan 18, 2019","490,000",455 sqft,10037
311 E 38th St #18B,1984,New York,Condo,"Jan 18, 2019","951,000",745 sqft,10016
1 Central Park W #35E,ie,New York,Condo,"Jan 18, 2019","3,150,000","1,444 sqft",10023
333 E 34th St #12H,1961,Manhattan,Condo,"Jan 22, 2019","760,000",715 sqft,10016
69-71 E 130th St #4C,2000,New York,Condo,"Jan 22, 2019","636,500",778 sqft,10037
2077 5th Ave #5C,ie,New York,Condo,"Jan 22, 2019","1,270,000","1,260 sqft",10035
246 Spring St #3004,2007,New York,Multi-Family,"Jan 22, 2019","550,000",425 sqft,10013
2110 Frederick Douglass Blvd #6B,2008,New York,Condo,"Jan 22, 2019","1,585,000","1,322 sqft",10026
215 W 134th St,1910,New York,Multi-Family,"Jan 22, 2019","2,080,000","2,550 sqft",10030
240 W End Ave #14A,1924,New York,Condo,"Jan 22, 2019","1,685,000","1,081 sqft",10023
20 W 64th St #20P,1970,New York,Condo,"Jan 22, 2019","2,050,000","1,056 sqft",10023
352 W 117th St #5G,1900,New York,Condo,"Jan 22, 2019","975,000",953 sqft,10026
308 W 30th St #1A,1925,New York,Condo,"Jan 23, 2019","565,000",432 sqft,10001
181 E 65th St #4C,ie,New York,Condo,"Jan 23, 2019","2,750,000","1,606 sqft",10065
326 W 83rd St #5D,1920,New York,Coop,"Jan 23, 2019","460,000","19,362 sqft",10024
240 E 55th St #7D,1959,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10022
160 Wadsworth Ave #208,ie,New York,Condo,"Jan 23, 2019","375,000",527 sqft,10033
162 E 80th St #2B,1926,New York,Coop,"Jan 23, 2019","2,025,000","49,435 sqft",10075
463 W 143rd St,1920,New York,Multi-Family,"Jan 23, 2019","3,188,250","5,130 sqft",10031
125 E 12th St #4H,1800,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10003
340 E 64th St #6P,1965,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10065
200 W 109th St #C8,1925,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10025
88 Lexington Ave #405,1927,New York,3 baths,ie," Contact For Estimate
 ",3 beds,10016
330 Spring St #8D,ie,New York,2.5 baths,ie," Contact For Estimate
 ",2 beds,10013
305 E 85th St #16B,2008,New York,4.5 baths,ie," Contact For Estimate
 ",4 beds,10028
389 E 89th St #5E,2002,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10128
30 Little St W #4G,2006,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10280
205 E 85th St #11B,ie,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10028
54 Macdougal St,2018,New York,ie,ie,"       $9,950,000
      
     ",ie,10012
408 E 79th St #5C,2004,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10075
255 E 74th St #29A,ie,Manhattan,3.5 baths,ie," Contact For Estimate
 ",5 beds,10021
53 Warren St #4,1920,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10007
240 E 46th St #8G,1962,New York,1 bath,ie," Contact For Estimate
 ",2 beds,10017
30 E 95th St #7E,1910,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10128
416 W 52nd St #506,ie,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10019
335 W 21st St #2FE,ie,Manhattan,1 bath,ie," Contact For Estimate
 ",1 bed,10011
200 E 69th St #7E,1991,New York,500 sqft,ie," Contact For Estimate
 ",1 bath,10021
141 W 24th St #6,1901,New York,2.5 baths,ie," Contact For Estimate
 ",4 beds,10011
159 W 53rd St #14A,1968,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
345 E 80th St #30H,1973,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10075
2109 Broadway #17131,1902,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10023
301 W 53rd St #20G,1979,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
266 W 71st St,1899,New York,6 baths,ie," Contact For Estimate
 ",4 beds,10023
200 Rector Pl #36H,1987,New York,ie,ie,"       $1,395,000
      
     ",ie,10280
21-23 S William St #6E,1927,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10004
433 W 54th St #17,1920,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
360 E 88th St #25C,1988,New York,ie,ie,"       $1,995,000
      
     ",ie,10128
218 E 47th St #12B,1985,New York,Condo,ie," Contact For Estimate
 ",625 sqft,10017
220 E 65th St #9E,1978,New York,406 sqft,ie," Contact For Estimate
 ",1 bath,10065
